currentStatus,speed,latitude,longitude,anomaly
2.9999995,22.411257,43.444496,-3.8284981,-1
2.999992,2.7836137,43.461517,-3.7847,-1
2.9999905,20.455435,43.442432,-3.8574586,1
3.0,22.975603,43.471546,-3.8137727,1
2.9999986,0.0509384,43.461964,-3.810258,1
2.000063,19.86205,43.46779,-3.8124075,-1
3.0,3.0746994,43.46855,-3.798677,1
2.999991,29.443647,43.464134,-3.8009834,1
3.0,39.67228,43.47307,-3.7858822,1
3.0,19.605598,43.445568,-3.8437788,1
2.9999971,18.096502,43.46175,-3.8474126,1
2.0009356,25.059689,43.4455,-3.8625767,-1
3.0,23.794867,43.46682,-3.7982166,1
2.9894004,31.302906,43.44787,-3.8726952,1
2.9999998,12.193345,43.457985,-3.803598,1
2.99917,4.4904823,43.457718,-3.8097126,1
3.0,2.3540502,43.469074,-3.8039684,1
2.9676077,18.84802,43.44416,-3.839891,1
3.0,6.5219083,43.471134,-3.7896948,1
2.9819574,30.910685,43.454315,-3.7960074,-1
3.0,17.908367,43.469448,-3.8016655,1
2.9999998,1.7599467,43.45339,-3.8230906,-1
2.016329,0.1239647,43.475674,-3.799877,1
3.0,0.3663214,43.457764,-3.83131,1
3.0,0.4114841,43.457314,-3.822504,1
3.0,6.359241,43.446274,-3.8626056,1
2.9999983,31.015375,43.452824,-3.869812,1
2.9999866,33.067223,43.47424,-3.8327234,1
2.999996,19.343428,43.45957,-3.8102822,1
3.0,12.235281,43.47628,-3.788617,1
3.0,33.839832,43.463657,-3.8420641,1
3.0,34.077843,43.464527,-3.7872305,1
2.9999998,39.801605,43.46428,-3.8406112,1
3.0,23.528297,43.446888,-3.8250878,-1
2.999993,43.176212,43.44088,-3.8736372,-1
2.9999998,36.52528,43.47563,-3.7980282,1
2.9999986,0.10175743,43.47459,-3.7974124,1
2.9974418,43.28219,43.47217,-3.7904806,1
3.0,4.1281176,43.477795,-3.800759,1
2.031909,24.18859,43.4665,-3.817409,-1
3.0,27.925442,43.478695,-3.7969813,1
2.0000014,11.34992,43.47902,-3.7837791,1
2.9999998,3.0243273,43.470615,-3.815388,1
3.0,35.335403,43.457737,-3.7916515,1
2.9996228,23.76636,43.443493,-3.8377225,1
2.9999955,45.288982,43.446846,-3.8222144,-1
3.0,41.43705,43.479652,-3.796024,-1
2.9999993,0.22338434,43.476246,-3.7925334,1
2.9994125,39.55502,43.472206,-3.8012543,1
3.0,5.2255955,43.476933,-3.7942219,1
2.161905,37.02335,43.458313,-3.8166082,-1
3.0,28.024076,43.47641,-3.7888796,1
2.0000043,13.958366,43.479485,-3.7816386,-1
3.0,4.7590156,43.47309,-3.8054245,1
3.0,36.806393,43.458485,-3.7909663,1
3.0,24.03966,43.448463,-3.824872,1
2.999988,41.057083,43.440567,-3.8759627,-1
2.9999998,30.57736,43.474133,-3.8027089,1
2.9999995,0.13259248,43.472206,-3.8024642,1
2.9963524,44.4255,43.47308,-3.7877293,-1
3.0,2.9543238,43.476883,-3.8010833,1
2.0079477,19.108086,43.468094,-3.8051946,-1
3.0,31.01241,43.4798,-3.8009531,1
2.0000029,14.426235,43.47964,-3.7825022,-1
2.9999995,3.1887755,43.47129,-3.8076627,1
3.0,38.05173,43.45839,-3.7897282,1
3.0,22.432919,43.445488,-3.8272586,-1
2.9999928,3.3308394,43.462856,-3.7849805,1
2.9999876,23.252094,43.44224,-3.857621,1
3.0,20.368284,43.4726,-3.8052535,1
2.9999988,0.04237275,43.463074,-3.812308,1
2.0000236,22.76927,43.468636,-3.8202908,-1
2.9999995,1.7417954,43.46254,-3.7951744,1
2.9999778,25.667707,43.461926,-3.7998774,1
3.0,40.75972,43.474823,-3.7843153,-1
3.0,20.139683,43.44733,-3.8449562,1
2.9999967,20.864594,43.46103,-3.8449023,1
2.0001824,24.894268,43.44628,-3.8634887,-1
2.9999998,12.388137,43.46364,-3.7902741,1
2.9981883,27.906952,43.447002,-3.8702428,1
2.9999995,33.113533,43.45812,-3.827309,1
2.9999979,8.135062,43.461826,-3.8045743,1
2.999788,11.331444,43.47288,-3.8161824,1
2.9999995,7.3452005,43.447617,-3.8569536,1
2.9999986,14.771576,43.459133,-3.788028,-1
2.9999394,31.197443,43.45136,-3.7994726,-1
2.9999995,14.205944,43.455322,-3.8167036,1
2.9999998,7.486482,43.459324,-3.8412015,1
3.0,6.467738,43.463432,-3.8056467,1
3.0,16.594702,43.45773,-3.8285656,1
3.0,13.08453,43.46154,-3.7923684,1
3.0,0.22558671,43.47279,-3.814641,1
2.9997745,0.80180323,43.46383,-3.8145177,1
2.9999998,20.625875,43.473465,-3.8119907,1
2.9999998,20.438602,43.454525,-3.8300633,1
2.9999785,30.66188,43.456997,-3.812996,1
2.995618,28.89844,43.45585,-3.8454595,1
2.9999995,3.6946027,43.47223,-3.8610692,-1
2.9999995,1.9404885,43.470207,-3.8416235,-1
3.0,9.079003,43.462677,-3.8106155,1
3.0,1.4684026,43.455948,-3.8335295,1
3.0,5.6437354,43.45257,-3.8581543,1
3.0,2.2432888,43.472282,-3.7888725,1
2.9993172,3.4156349,43.46788,-3.7907934,1
2.9999995,16.32139,43.473495,-3.8178897,1
2.9999998,15.225674,43.457207,-3.7985673,1
2.9999945,29.521082,43.459763,-3.8158255,1
2.9999597,23.46255,43.44922,-3.852232,1
2.999998,7.589527,43.47394,-3.8569174,-1
2.9999995,2.324899,43.466877,-3.8534234,1
3.0,4.77011,43.45664,-3.8521037,1
3.0,0.25472814,43.480785,-3.7954223,-1
2.9999998,14.940294,43.442635,-3.8713605,-1
3.0,26.047352,43.47427,-3.7816145,1
2.9999979,0.15104465,43.472126,-3.7911782,1
2.008267,31.590227,43.46766,-3.8133836,-1
3.0,17.284348,43.473034,-3.795848,1
2.999999,15.811086,43.460922,-3.8315232,1
2.9999938,35.85562,43.45339,-3.8316765,1
2.999987,22.299261,43.46062,-3.8273234,1
2.999999,3.2494764,43.466995,-3.8568466,1
3.0,5.195572,43.46295,-3.8059523,1
3.0,21.377092,43.456818,-3.8287544,1
3.0,18.14861,43.465588,-3.7856634,1
3.0,0.16834655,43.474,-3.8140862,1
2.9998105,0.6896218,43.46321,-3.8190336,1
2.9999998,20.269714,43.473843,-3.8110094,1
3.0,19.888096,43.453087,-3.8417115,1
2.999967,31.602592,43.45772,-3.8175538,1
2.9910321,29.954948,43.457417,-3.8428085,1
2.9999995,3.3453243,43.472095,-3.861231,-1
2.9999998,1.8077121,43.47052,-3.8387392,1
2.0001998,24.918144,43.446217,-3.863468,-1
2.9999998,11.451446,43.463406,-3.789753,1
2.9994469,28.65329,43.446842,-3.8691106,1
2.9999988,39.89719,43.448563,-3.8358998,1
2.999999,11.268814,43.460625,-3.7899752,1
2.994395,29.599575,43.46652,-3.7961888,1
3.0,20.710793,43.47385,-3.8257787,1
2.9999995,9.552984,43.461395,-3.7842922,1
2.999476,38.22851,43.456303,-3.7908688,-1
2.9999995,15.855065,43.464096,-3.8000298,1
3.0,3.692614,43.455914,-3.8473897,1
3.0,25.732367,43.453068,-3.8248696,1
2.999983,37.070435,43.44043,-3.8770502,1
2.9999933,4.1292515,43.463226,-3.8125014,1
2.9999971,4.96493,43.465813,-3.8100734,1
3.0,6.0587106,43.471947,-3.804499,1
3.0,0.057910938,43.473694,-3.813754,1
2.0003226,17.05104,43.474236,-3.795444,1
3.0,18.57763,43.478374,-3.7988255,1
2.0000064,13.698753,43.47879,-3.7818499,-1
2.999995,3.416483,43.467606,-3.7951121,1
3.0,41.492733,43.461483,-3.784883,-1
3.0,22.583801,43.446518,-3.8268278,-1
2.9999938,3.6751294,43.46413,-3.7853134,1
2.9999928,24.434397,43.442127,-3.856734,1
3.0,20.506935,43.473152,-3.800873,1
2.9999988,0.037092563,43.462334,-3.8112779,1
2.0000184,22.8244,43.46717,-3.8232849,-1
2.999999,1.5525202,43.46089,-3.7935855,1
2.9999747,24.479565,43.461533,-3.7994251,1
3.0,40.82395,43.474957,-3.7843852,-1
3.0,20.616894,43.447483,-3.8440192,1
2.9999964,21.804235,43.461346,-3.842511,1
3.0,34.399776,43.472485,-3.8303485,1
2.9999933,29.599316,43.44152,-3.8774996,1
2.9938908,1.0186886,43.468403,-3.82202,1
2.9999976,0.24880704,43.467274,-3.7991114,1
3.0,5.78858,43.455807,-3.7973778,-1
3.0,0.551628,43.44751,-3.8755114,-1
2.9999979,0.65930825,43.47996,-3.8108885,-1
2.000011,5.9318113,43.478153,-3.7876112,1
2.5914314,2.4593418,43.459515,-3.7897954,-1
2.9999998,11.734843,43.457745,-3.7796154,-1
3.0,26.69324,43.458363,-3.7903168,-1
2.6927068,0.11095537,43.47054,-3.8092065,-1
3.0,4.0128875,43.46587,-3.8281486,1
3.0,6.5395336,43.458553,-3.7950103,1
3.0,1.9173292,43.46811,-3.8242574,1
2.9999998,10.610901,43.459866,-3.8483813,1
2.9999986,8.781286,43.45956,-3.7805371,-1
2.9999964,18.849764,43.46876,-3.7868655,1
3.0,19.460794,43.472878,-3.7863138,1
3.0,21.027454,43.442593,-3.8575144,1
2.9999914,24.81558,43.456398,-3.8686485,1
2.999864,24.2914,43.466564,-3.8505423,1
3.0,5.250838,43.46298,-3.8059297,1
3.0,22.5924,43.45621,-3.8295326,1
3.0,19.682526,43.466473,-3.7846577,1
3.0,0.15136817,43.474056,-3.8124924,1
2.9998093,0.68519336,43.462772,-3.8201644,1
3.0,20.333603,43.473904,-3.8106568,1
3.0,19.792639,43.45264,-3.8445637,1
2.999962,31.7572,43.45827,-3.8194401,1
2.988689,29.851093,43.457443,-3.8429222,1
2.9999995,3.24513,43.472218,-3.861195,-1
2.9999998,1.7852627,43.47038,-3.838231,1
2.0203712,0.12118346,43.47549,-3.8004417,1
3.0,0.3542285,43.457,-3.8308268,1
3.0,0.42197183,43.45526,-3.8323765,1
3.0,7.0061736,43.445053,-3.8634923,-1
2.999998,30.70822,43.45506,-3.8686771,1
2.9999945,31.732761,43.472473,-3.8192525,1
2.9999976,23.028812,43.46321,-3.805122,1
3.0,12.690426,43.476124,-3.7899978,1
3.0,34.274445,43.46042,-3.8459105,1
3.0,33.676895,43.466614,-3.7866313,1
2.9999998,38.45218,43.46683,-3.8379467,1
2.2263985,24.078379,43.44435,-3.8555145,-1
3.0,43.45087,43.47334,-3.809956,1
2.999457,41.661846,43.446964,-3.8749886,1
2.9999995,6.9414587,43.46575,-3.8130586,1
2.9948525,22.070171,43.461327,-3.7983894,1
3.0,3.548764,43.47457,-3.7957945,1
2.9391425,17.298567,43.450104,-3.8410017,1
3.0,4.845924,43.475266,-3.7882702,1
2.0003264,4.8912497,43.476868,-3.7819397,-1
3.0,9.716472,43.477352,-3.7825897,1
3.0,30.425947,43.460537,-3.7833803,-1
2.9999998,3.656526,43.462154,-3.8066685,1
3.0,24.667048,43.455452,-3.8292682,1
3.0,22.881613,43.468803,-3.7822595,1
3.0,0.088429324,43.474083,-3.8022144,1
2.9999287,0.80873036,43.459354,-3.8273563,1
3.0,17.396421,43.474396,-3.8081365,1
3.0,18.126102,43.4486,-3.854843,1
2.9999547,30.736967,43.462128,-3.8312073,1
2.9852948,28.072208,43.45753,-3.8425388,1
2.9999998,3.131303,43.472073,-3.8618631,-1
2.9999998,1.9231993,43.470863,-3.8307364,1
2.0165951,0.12375256,43.475662,-3.7999187,1
3.0,0.39816332,43.45837,-3.8314767,1
3.0,0.44245,43.45764,-3.8205645,1
3.0,6.3699884,43.44646,-3.8623786,1
2.999998,31.14087,43.452503,-3.870015,1
2.999985,33.183186,43.474377,-3.8342938,-1
2.9999957,18.948034,43.459095,-3.8112314,1
3.0,12.235271,43.476288,-3.7884004,1
3.0,33.805313,43.464058,-3.8415,1
3.0,34.133465,43.4645,-3.7870235,1
2.9999998,39.76582,43.46388,-3.8411393,1
3.0,5.8819513,43.463226,-3.805759,1
3.0,18.336184,43.457573,-3.8282292,1
3.0,14.705933,43.46297,-3.7894764,1
3.0,0.20504583,43.47334,-3.815051,1
2.9997964,0.7482263,43.46368,-3.8163078,1
2.9999998,20.39483,43.473618,-3.8116498,1
3.0,20.097326,43.454113,-3.8344767,1
2.9999752,31.137224,43.456932,-3.814902,1
2.9944232,29.569937,43.456654,-3.8442702,1
2.9999995,3.6651843,43.471996,-3.861474,-1
2.9999995,1.8639216,43.470783,-3.840541,-1
3.0,33.904873,43.471046,-3.828653,1
2.9999914,31.16167,43.441208,-3.8774817,1
2.9972067,1.1954913,43.46723,-3.8211315,1
2.9999983,0.6358004,43.46689,-3.7956963,1
3.0,1.6333464,43.461155,-3.8091352,1
3.0,0.20554088,43.449135,-3.8755138,-1
2.9999986,0.791947,43.478313,-3.810834,-1
2.0000088,6.1159534,43.475494,-3.7860897,1
2.0173864,2.74736,43.460835,-3.7859447,-1
3.0,7.1860614,43.45867,-3.781786,-1
3.0,27.849928,43.45522,-3.7893581,-1
3.0,24.07819,43.451393,-3.8264332,1
2.9999948,4.5112324,43.46828,-3.7864842,1
2.9999986,26.95197,43.44201,-3.8533475,1
3.0,22.947489,43.474457,-3.7931514,1
2.9999983,0.029799221,43.459995,-3.8090541,1
2.0000143,19.581459,43.462986,-3.8303816,1
2.9999988,1.427573,43.459026,-3.7918012,-1
2.9999666,22.59374,43.461533,-3.798882,1
3.0,41.16898,43.47464,-3.785838,-1
3.0,22.86856,43.446815,-3.8406742,1
2.999997,23.004808,43.463703,-3.8347383,1
